index,estimator,training score,validation score,scoring,features dropped
0,RandomForestClassifier,0.9988775863970878,0.8215554579122466,accuracy_score,0
1,RandomForestClassifier,0.9988775863970878,0.8226727763480008,accuracy_score,1
2,RandomForestClassifier,0.9988775863970878,0.8226727763480008,accuracy_score,2
3,RandomForestClassifier,0.9988775863970878,0.8316427091833531,accuracy_score,3
4,RandomForestClassifier,0.9988775863970878,0.8181595631159375,accuracy_score,4
5,RandomForestClassifier,0.9988775863970878,0.8271797125102003,accuracy_score,5
6,RandomForestClassifier,0.9988775863970878,0.8249262444291006,accuracy_score,6
7,RandomForestClassifier,0.9988775863970878,0.8249074132195091,accuracy_score,7
8,RandomForestClassifier,0.9988775863970878,0.8226853304877283,accuracy_score,8
9,RandomForestClassifier,0.9988775863970878,0.8294080723118448,accuracy_score,9
10,RandomForestClassifier,0.9988775863970878,0.8193082669010107,accuracy_score,10
11,RandomForestClassifier,0.9988775863970878,0.8215429037725188,accuracy_score,11
12,RandomForestClassifier,0.9988775863970878,0.8316364321134895,accuracy_score,12
13,RandomForestClassifier,0.9988775863970878,0.821568012051974,accuracy_score,13
14,RandomForestClassifier,0.9988775863970878,0.8226853304877283,accuracy_score,14
15,RandomForestClassifier,0.9988775863970878,0.8226853304877283,accuracy_score,15
16,RandomForestClassifier,0.9988775863970878,0.8215742891218379,accuracy_score,16
17,RandomForestClassifier,0.9988775863970878,0.8159312033142928,accuracy_score,17
18,RandomForestClassifier,0.9988775863970878,0.7923984683949532,accuracy_score,18
19,RandomForestClassifier,0.9988775863970878,0.8036155922415416,accuracy_score,19
20,RandomForestClassifier,0.9988775863970878,0.8035779298223588,accuracy_score,20
21,RandomForestClassifier,0.9988775863970878,0.8215491808423829,accuracy_score,21
22,RandomForestClassifier,0.9988775863970878,0.8204381394764922,accuracy_score,22
23,RandomForestClassifier,0.9988775863970878,0.8092147385600402,accuracy_score,23
24,RandomForestClassifier,0.9988775863970878,0.832803967108154,accuracy_score,24
25,RandomForestClassifier,0.9789562223237784,0.6913815830770196,accuracy_score,25
26,RandomForestClassifier,0.8916947696865595,0.6543531479505368,accuracy_score,26
27,RandomForestClassifier,0.8131325149313708,0.6891532232753751,accuracy_score,27
28,rf2,0.7943300187528564,0.7789153223275375,accuracy_score,0
29,rf2,0.7937709787730274,0.7755570899504112,accuracy_score,1
30,rf2,0.7920859794821691,0.775563367020275,accuracy_score,2
31,rf2,0.7895602533999402,0.775563367020275,accuracy_score,3
32,rf2,0.7946124934995351,0.7789153223275375,accuracy_score,4
33,rf2,0.7920847975794634,0.7733098989391751,accuracy_score,5
34,rf2,0.7909627779441196,0.7744397715146569,accuracy_score,6
35,rf2,0.7895626172053516,0.7744397715146569,accuracy_score,7
36,rf2,0.7926489591376839,0.7766806854560292,accuracy_score,8
37,rf2,0.7887187386734323,0.773316176009039,accuracy_score,9
38,rf2,0.7873162141292529,0.7778105580315109,accuracy_score,10
39,rf2,0.7875967190380889,0.775563367020275,accuracy_score,11
40,rf2,0.7870361031879856,0.7744460485845208,accuracy_score,12
41,rf2,0.7875967190380889,0.775563367020275,accuracy_score,13
42,rf2,0.7904053138345652,0.7710940932772582,accuracy_score,14
43,rf2,0.7845111650408938,0.773316176009039,accuracy_score,15
44,rf2,0.7923700300991223,0.7800326407632917,accuracy_score,16
45,rf2,0.7859136895850733,0.7733287301487666,accuracy_score,17
46,rf2,0.7878791937847677,0.7833845960705543,accuracy_score,18
47,rf2,0.787878799817199,0.7845019145063085,accuracy_score,19
48,rf2,0.7892832941992216,0.7766806854560292,accuracy_score,20
49,rf2,0.7867552043115811,0.7867365513778168,accuracy_score,21
50,rf2,0.7867552043115811,0.7867365513778168,accuracy_score,22
51,rf2,0.7873166080968215,0.7867365513778168,accuracy_score,23
52,rf2,0.7904057078021337,0.7722051346431487,accuracy_score,24
53,rf2,0.721668610240005,0.6959387357981294,accuracy_score,25
54,rf2,0.6913622610586696,0.6813571025045508,accuracy_score,26
55,rf2,0.6823864979434893,0.6667629150712446,accuracy_score,27
56,rf4,0.8465240241423325,0.8035842068922227,accuracy_score,0
57,rf4,0.8493282852955545,0.808097420124286,accuracy_score,1
58,rf4,0.847925760751375,0.8204193082669011,accuracy_score,2
59,rf4,0.8487641237373339,0.8024543343167411,accuracy_score,3
