,average,stdev,best,worst,f_value_rank,p_value_rank,variance_rank,correlation_to_target_rank,LogisticRegression_rfe_rank_rank,RandomForestClassifier_rfe_rank_rank,XGBClassifier_feature_importance_rank,RandomForestClassifier_feature_importance_rank,LogisticRegression_SFS_rank_accuracy_score,XGBClassifier_SFS_rank_accuracy_score,RandomForestClassifier_SFS_rank_accuracy_score,KNeighborsClassifier_SFS_rank_accuracy_score,LogisticRegression_SBS_rank_accuracy_score,XGBClassifier_SBS_rank_accuracy_score,RandomForestClassifier_SBS_rank_accuracy_score,KNeighborsClassifier_SBS_rank_accuracy_score
Sex_male,11.1875,14.896168411149672,1.0,41.0,1.0,1.0,38.0,1.0,1.0,10.0,1.0,4.0,1,31,32,1,41,5,3,8
Age*Fare,12.3125,11.079824005822475,1.0,33.0,21.0,21.0,2.0,21.0,27.0,1.0,14.0,5.0,4,1,1,24,17,4,1,33
Age*Fare_binned_5_target_encoded,13.1875,6.112487218800543,2.0,25.0,19.0,19.0,17.0,19.0,14.0,15.0,11.0,14.0,7,12,7,4,15,11,2,25
Pclass_ordinal_encoded,13.875,12.131913836379375,2.0,36.0,5.0,5.0,10.0,5.0,3.0,22.0,2.0,13.0,10,28,28,13,3,36,36,3
Age*Fare_binned_5_woe_encoded,15.5625,6.164076032410156,6.0,29.0,18.0,18.0,18.0,18.0,13.0,19.0,17.0,20.0,6,10,8,29,16,10,7,22
Age*Fare_binned_5_catboost_encoded,15.6875,9.877373132569206,4.0,37.0,20.0,20.0,16.0,20.0,37.0,27.0,16.0,30.0,5,8,6,17,14,7,4,4
Fare,16.3125,11.487493199127476,1.0,37.0,17.0,17.0,3.0,17.0,28.0,5.0,10.0,8.0,18,36,25,2,12,1,25,37
Embarked_Q_target_encoded,16.375,10.26239088451939,3.0,30.0,29.0,29.0,5.0,29.0,25.0,30.0,5.0,21.0,12,4,19,18,4,3,19,10
Sex_male_target_encoded,16.5625,16.0912761043575,1.0,41.0,4.0,4.0,41.0,4.0,5.0,3.0,26.0,1.0,28,33,2,8,1,41,41,23
Age,16.8125,12.848962344614966,2.0,39.0,32.0,32.0,9.0,32.0,6.0,9.0,13.0,10.0,22,11,4,39,2,8,5,35
Pclass_ordinal_encoded_catboost_encoded,17.375,11.569356075426152,3.0,37.0,8.0,8.0,26.0,8.0,4.0,11.0,27.0,11.0,23,5,29,3,21,37,37,20
