,f_value,p_value,variance,correlation_to_target,LogisticRegression_rfe_rank,XGBClassifier_rfe_rank,XGBClassifier_feature_importance,LogisticRegression_SFS_rank_accuracy_score,XGBClassifier_SFS_rank_accuracy_score,LogisticRegression_SBS_rank_accuracy_score,XGBClassifier_SBS_rank_accuracy_score
Age,4.525864543013365,0.033660897946765675,1.0092662655297007,0.07117004027679608,8,6,0.026672006,6,4,28,28
Age_binned_5,3.352416866643812,0.06744098843514319,0.5117845117845118,0.06129298982014906,20,28,0.0,11,7,2,7
Age_binned_5_catboost_encoded,1.150751758049847,0.28368294052565124,0.5116038909103643,0.03595497921679187,28,17,0.01993971,12,19,17,17
Age_binned_5_target_encoded,0.21468446627444512,0.6432336934274729,0.6790298920801215,0.015538067288649704,12,4,0.03004549,8,5,10,4
Age_binned_5_woe_encoded,2.641617324670817,0.10445195427453091,0.6919410861466461,0.054430182016602956,24,15,0.036926523,10,12,18,9
Embarked_Q,0.011846343990383331,0.9133532352434973,0.07895137936290199,0.003650382683972286,21,26,0.0,4,13,7,23
Embarked_Q_catboost_encoded,14.101687845802703,0.00018445564494475492,1.8718352335500281,0.12495890805279823,15,9,0.035685882,9,10,6,18
Embarked_Q_target_encoded,9.628376335242995,0.0019765036156040006,2.0455402286424094,0.10351099046043365,17,8,0.028309887,7,11,4,16
Embarked_Q_woe_encoded,8.220108546142384,0.004240754946244435,2.7620830895201918,0.09571704378321194,26,21,0.013489541,5,18,23,11
Embarked_S,20.37445988280315,7.223240983685237e-06,0.19936237295010212,0.1496827232706861,4,3,0.035628732,22,21,12,24
Embarked_S_catboost_encoded,16.473757375971573,5.367113959483351e-05,0.28072411926002205,0.13488336709417378,13,25,0.009886586,20,24,16,19
Embarked_S_target_encoded,15.566143981378357,8.594639023769079e-05,0.2580485931019255,0.1311808247723653,5,14,0.023162978,18,20,13,12
Embarked_S_woe_encoded,19.673458650149843,1.0337543521810004e-05,0.22364366694645774,0.1471419261807222,18,18,0.029205069,21,25,19,20
Fare,63.03076422804465,6.1201893419215696e-15,4.62676463920846,0.2573065223849623,27,7,0.02843874,17,2,8,2
Fare_binned_5,97.10792892197969,8.199039517035441e-22,0.48785145380730865,0.3138088016826996,10,27,0.0,25,8,27,25
Fare_binned_5_catboost_encoded,92.21495201110204,7.65481495397545e-21,0.4542515721704225,0.3065621925814579,22,19,0.016968729,28,28,11,22
Fare_binned_5_target_encoded,96.42905215323344,1.1169968572905233e-21,0.41212205686504727,0.31281766360231994,23,13,0.02269958,26,16,25,6
Fare_binned_5_woe_encoded,93.4507408600198,4.349112610101609e-21,0.44787103259148203,0.3084153479656959,25,20,0.014367305,27,26,24,13
Parch,5.963463836603494,0.0147992453747224,0.6489990313409693,0.08162940708348222,19,16,0.019860944,13,14,9,5
Pclass_ordinal_encoded,115.03127218827657,2.5370473879805644e-25,0.6982305912347064,0.33848103596101586,3,2,0.09272812,24,9,3,26
Pclass_ordinal_encoded_catboost_encoded,103.3707710188402,4.7826138682891206e-23,0.4649808996969495,0.3227467633707882,7,22,0.013560082,14,23,22,3
Pclass_ordinal_encoded_target_encoded,106.48801309871138,1.1710398938454887e-23,0.41833099302172716,0.3270636991940269,16,12,0.023805894,23,3,20,15
Pclass_ordinal_encoded_woe_encoded,104.84776050913749,2.4539277620041417e-23,0.4047237806201147,0.3248027125828596,14,23,0.013351895,3,15,14,14
Sex_male,372.40572360221495,1.406066130879597e-69,0.22821808306282682,0.5433513806577526,1,1,0.3555706,1,1,15,27
Sex_male_catboost_encoded,365.125360349188,1.855317302033764e-68,0.2247571616950877,0.5395733909155005,6,11,0.02672801,16,17,1,21
Sex_male_target_encoded,364.58495375986655,2.2482554339180597e-68,0.22341923011918421,0.5392901466275074,11,24,0.010528428,15,22,21,10
Sex_male_woe_encoded,367.18332757788517,8.933939077047792e-69,0.23503217991518008,0.5406484523572266,2,10,0.024919868,19,27,26,1
SibSp,1.1105722041132329,0.29224392869817906,1.2146782704208816,0.03532249888573588,9,5,0.04751932,2,6,5,8
