,f_value,p_value,variance,correlation_to_target,RandomForestClassifier_rfe_rank,rf2_rfe_rank,rf4_rfe_rank,rf6_rfe_rank,RandomForestClassifier_feature_importance,rf2_feature_importance,rf4_feature_importance,rf6_feature_importance,RandomForestClassifier_SFS_rank_roc_auc_score,rf2_SFS_rank_roc_auc_score,rf4_SFS_rank_roc_auc_score,rf6_SFS_rank_roc_auc_score,RandomForestClassifier_SBS_rank_roc_auc_score,rf2_SBS_rank_roc_auc_score,rf4_SBS_rank_roc_auc_score,rf6_SBS_rank_roc_auc_score
Age,4.525864543013365,0.033660897946765675,1.0092662655297007,0.07117004027679608,3,15,8,6,0.08146431568917281,0.017457983699269326,0.031373924517313266,0.048705673689084086,2,3,4,6,2,3,3,4
Age_binned_5,3.352416866643812,0.06744098843514319,0.5117845117845118,0.06129298982014906,21,27,26,26,0.019000575515810282,0.00239483440620417,0.005178984563574117,0.010928841431109013,5,4,15,14,25,19,11,22
Age_binned_5_catboost_encoded,1.150751758049847,0.28368294052565124,0.5116038909103643,0.03595497921679187,15,28,23,17,0.027581711495190904,0.0,0.006516719383947271,0.015357029606445912,4,12,12,11,5,7,10,20
Age_binned_5_target_encoded,0.21468446627444512,0.6432336934274729,0.6790298920801215,0.015538067288649704,8,21,12,11,0.036347817204616335,0.001147351905393716,0.013598609044288732,0.023693995728008885,10,6,8,4,9,6,5,8
Age_binned_5_woe_encoded,2.641617324670817,0.10445195427453091,0.6919410861466461,0.054430182016602956,10,23,24,15,0.02852683869870372,0.0005258691879328301,0.010128882893628866,0.01720834727073153,15,13,13,13,15,23,14,7
Embarked_Q,0.011846343990383331,0.9133532352434973,0.07895137936290199,0.003650382683972286,28,26,28,28,0.0021985344765486797,0.0,0.0008490885284197526,0.0015507888836760603,7,24,21,28,18,28,20,13
Embarked_Q_catboost_encoded,14.101687845802703,0.00018445564494475492,1.8718352335500281,0.12495890805279823,25,16,25,20,0.01343525465091551,0.0009331653116302772,0.00795442993766415,0.010546711231030681,17,11,25,27,4,5,26,25
Embarked_Q_target_encoded,9.628376335242995,0.0019765036156040006,2.0455402286424094,0.10351099046043365,19,24,21,18,0.026455959720169307,0.0006376073280103818,0.008880722988267382,0.016350504120041198,6,10,20,24,8,16,24,16
Embarked_Q_woe_encoded,8.220108546142384,0.004240754946244435,2.7620830895201918,0.09571704378321194,23,18,15,22,0.014282378164650058,0.002950159811080229,0.007588497301178738,0.012145958971652408,18,14,26,25,22,12,12,19
Embarked_S,20.37445988280315,7.223240983685237e-06,0.19936237295010212,0.1496827232706861,27,22,27,27,0.0056400574575276785,0.0005446549432741542,0.0022054929089638086,0.00553192542760203,11,5,18,17,26,8,17,6
Embarked_S_catboost_encoded,16.473757375971573,5.367113959483351e-05,0.28072411926002205,0.13488336709417378,17,25,16,23,0.019157998463237028,0.0049469537041883565,0.005902389853650202,0.015003202562980723,14,9,10,5,14,27,8,9
Embarked_S_target_encoded,15.566143981378357,8.594639023769079e-05,0.2580485931019255,0.1311808247723653,13,19,14,16,0.02545167322865972,0.0003028775416747865,0.006964402147054927,0.014718724720350988,19,19,14,16,16,18,18,21
Embarked_S_woe_encoded,19.673458650149843,1.0337543521810004e-05,0.22364366694645774,0.1471419261807222,20,17,20,19,0.019053542282003934,0.002043780890674635,0.00864263657966665,0.013958417839005833,16,15,27,18,17,20,23,10
Fare,63.03076422804465,6.1201893419215696e-15,4.62676463920846,0.2573065223849623,1,9,6,2,0.07773393601328266,0.044334589735344467,0.04885311909166524,0.052584292958645626,1,25,2,1,1,11,4,1
Fare_binned_5,97.10792892197969,8.199039517035441e-22,0.48785145380730865,0.3138088016826996,26,10,17,25,0.012073369118338001,0.01875555930378078,0.013899974689849026,0.008228688390666712,21,8,17,9,12,26,13,12
Fare_binned_5_catboost_encoded,92.21495201110204,7.65481495397545e-21,0.4542515721704225,0.3065621925814579,11,13,13,13,0.028188421977265746,0.009833750386567967,0.017480447426584285,0.02750757805031557,22,28,5,15,11,21,22,5
Fare_binned_5_target_encoded,96.42905215323344,1.1169968572905233e-21,0.41212205686504727,0.31281766360231994,7,12,11,12,0.041199136234929795,0.02444474425955804,0.020788524639748483,0.024234376562034886,13,22,19,8,28,15,9,11
Fare_binned_5_woe_encoded,93.4507408600198,4.349112610101609e-21,0.44787103259148203,0.3084153479656959,16,11,19,9,0.032387559712956565,0.015075020449317094,0.019960743805772365,0.02491910454388838,24,21,6,10,27,24,7,24
Parch,5.963463836603494,0.0147992453747224,0.6489990313409693,0.08162940708348222,24,20,22,24,0.01706084588271306,0.0038997657170626266,0.009751297810622851,0.009224524740945622,8,23,7,19,6,25,28,28
Pclass_ordinal_encoded,115.03127218827657,2.5370473879805644e-25,0.6982305912347064,0.33848103596101586,18,6,10,14,0.024315928988805788,0.06171439099530609,0.03674741241975604,0.038140077610081966,23,16,23,12,19,2,21,15
