,average,stdev,best,worst,f_value_rank,p_value_rank,variance_rank,correlation_to_target_rank,LogisticRegression_rfe_rank_rank,XGBClassifier_rfe_rank_rank,RandomForestClassifier_rfe_rank_rank,XGBClassifier_feature_importance_rank,RandomForestClassifier_feature_importance_rank,LogisticRegression_SFS_rank_accuracy_score,XGBClassifier_SFS_rank_accuracy_score,RandomForestClassifier_SFS_rank_accuracy_score,KNeighborsClassifier_SFS_rank_accuracy_score,LogisticRegression_SBS_rank_accuracy_score,XGBClassifier_SBS_rank_accuracy_score,RandomForestClassifier_SBS_rank_accuracy_score,KNeighborsClassifier_SBS_rank_accuracy_score
Sex_male,11.0,15.917757379731606,1.0,42.0,1.0,1.0,38.0,1.0,1.0,1.0,10.0,1.0,4.0,1,1,32,1,41,42,3,8
Pclass_ordinal_encoded,12.588235294117647,12.165827260863786,2.0,41.0,5.0,5.0,10.0,5.0,3.0,2.0,22.0,2.0,13.0,10,13,28,13,3,41,36,3
Age*Fare,13.882352941176471,10.505250787946334,1.0,33.0,21.0,21.0,2.0,21.0,27.0,15.0,1.0,15.0,5.0,4,21,1,24,19,5,1,33
Fare,14.647058823529411,10.959819663608682,2.0,37.0,17.0,17.0,3.0,17.0,28.0,7.0,5.0,10.0,8.0,28,2,25,2,16,2,25,37
Age,15.117647058823529,12.99943437683529,2.0,39.0,32.0,32.0,9.0,32.0,6.0,6.0,9.0,4.0,10.0,12,6,4,39,2,14,5,35
Age*Fare_binned_5_woe_encoded,15.352941176470589,6.882415786540619,6.0,29.0,18.0,18.0,18.0,18.0,13.0,9.0,19.0,8.0,20.0,6,26,8,29,10,12,7,22
Sex_male_target_encoded,15.470588235294118,15.26891305503941,1.0,43.0,4.0,4.0,41.0,4.0,5.0,25.0,3.0,25.0,1.0,24,43,2,8,1,9,41,23
Age*Fare_binned_5_target_encoded,15.588235294117647,9.804710752550351,2.0,42.0,19.0,19.0,17.0,19.0,14.0,22.0,15.0,22.0,14.0,7,42,7,4,14,3,2,25
Sex_male_catboost_encoded,16.294117647058822,13.990017449427793,1.0,40.0,3.0,3.0,39.0,3.0,11.0,17.0,7.0,13.0,2.0,25,24,33,22,33,1,40,1
Embarked_Q_target_encoded,16.647058823529413,9.32698488574006,4.0,30.0,29.0,29.0,5.0,29.0,25.0,10.0,30.0,9.0,21.0,11,5,19,18,4,10,19,10
Age*Fare_binned_5_catboost_encoded,18.0,9.714679613862724,4.0,37.0,20.0,20.0,16.0,20.0,37.0,18.0,27.0,16.0,30.0,5,32,6,17,17,17,4,4
Pclass_ordinal_encoded_catboost_encoded,18.88235294117647,11.346157680803096,3.0,37.0,8.0,8.0,26.0,8.0,4.0,28.0,11.0,27.0,11.0,29,37,29,3,13,22,37,20
Sex_male_woe_encoded,19.235294117647058,15.110134892534488,2.0,42.0,2.0,2.0,37.0,2.0,2.0,29.0,4.0,29.0,3.0,17,40,34,19,32,24,42,9
Age^2_binned_5_target_encoded,19.294117647058822,13.778446510230902,2.0,42.0,42.0,42.0,14.0,42.0,18.0,4.0,21.0,12.0,15.0,15,23,11,40,8,8,11,2
Age^2,20.058823529411764,14.914215484879243,6.0,43.0,37.0,37.0,7.0,37.0,7.0,35.0,6.0,43.0,6.0,14,7,9,42,7,26,8,13
Pclass_ordinal_encoded_woe_encoded,20.235294117647058,12.562490854547447,3.0,39.0,7.0,7.0,34.0,7.0,20.0,27.0,13.0,23.0,12.0,3,17,31,26,36,4,39,38
Pclass_ordinal_encoded_target_encoded,20.41176470588235,12.976222599091637,3.0,43.0,6.0,6.0,31.0,6.0,24.0,14.0,8.0,14.0,9.0,22,3,30,30,35,43,38,28
